,Date of Sale,Menu Name,Net Sales,Sales Quantity
2018,07-26-2024,Strawberry Croissant,23.75,5.
2019,07-26-2024,Sweet Cheese and Blueberry Danish,22.5,6.
2020,07-26-2024,Yuzu Pie,79.9,19.
2021,07-26-2024,Baby Choux,9.,2.
2022,07-26-2024,Banana Soft,14.7,5.
2023,07-26-2024,Belgium Waffle,17.5,5.
2024,07-26-2024,Blueberry Cream Cheese Bread,54.77,16.
2025,07-26-2024,Blueberry Muffin w/ Blueberry filling,11.85,3.
2026,07-26-2024,Chocolate Dipped Waffle,32.,8.
2027,07-26-2024,Cranberry Cream Cheese Bread,3.25,1.
2028,07-26-2024,Croque Monsieur,63.17,14.
2029,07-26-2024,Custard Bun,27.,9.
2030,07-26-2024,Custard Cream Soboro,21.,6.
2031,07-26-2024,Foliage Sausage Bread,92.07,19.
2032,07-26-2024,Garlic Cream Cheese Bread,64.9,12.
2033,07-26-2024,Honey Cheese Pancake,47.02,10.
2034,07-26-2024,Honeydew Melon Soft,21.,6.
2035,07-26-2024,Milk Cream Bread,32.5,10.
2036,07-26-2024,Milk Soft Bread,21.,6.
2037,07-26-2024,Mini Butter Cream Bread,5.,2.
2038,07-26-2024,Mocha Cream Bread,13.86,3.
2039,07-26-2024,Morning Bread,17.5,3.
2040,07-26-2024,Nutty Cream Stick Bread,8.5,2.
2041,07-26-2024,Olive Tomato Bread,18.,4.
2042,07-26-2024,Original Coffee Bun,33.75,9.
2043,07-26-2024,Pizza Bread,14.25,3.
2044,07-26-2024,Potato Cheese Bread,24.75,5.
2045,07-26-2024,Premium Red Bean Bread,17.5,5.
2046,07-26-2024,Redbean Bread,33.,11.
2047,07-26-2024,Salt & Butter Roll,43.75,13.
2048,07-26-2024,Soboro,17.4,6.
2049,07-26-2024,Strawberry Cream Soboro,20.4,5.
2050,07-26-2024,Strawberry Soft,20.47,6.
2051,07-26-2024,Sweet Frank Roll,69.72,18.
2052,07-26-2024,Taro Buttercream Bread,13.9,2.
2053,07-26-2024,The+ Milk Roll,11.5,2.
2054,07-27-2024,Chocolate Cream Doughnut,58.66,15.
2055,07-27-2024,Corn Cheese Donut,37.95,23.
2056,07-27-2024,Croquette,105.,28.
2057,07-27-2024,Curry Croquette,166.69,45.
2058,07-27-2024,Kimchi Croquette,67.5,18.
2059,07-27-2024,Mango Cream Doughnut,55.3,14.
2060,07-27-2024,Redbean Donut,32.4,11.
2061,07-27-2024,Sesame Donut,35.75,13.
2062,07-27-2024,Sweet Rice Donut,44.,16.
2063,07-27-2024,Twist Donut,63.25,23.
2064,07-27-2024,Baguette,17.5,5.
2065,07-27-2024,Walnut Cream Baguette,9.9,2.
2066,07-27-2024,Chestnut Pan Bread,20.85,3.
2067,07-27-2024,Mascarpone Whipped Cream Loaf,17.5,3.
2068,07-27-2024,Multi-Grain Plant-Based Loaf,7.,1.
2069,07-27-2024,Olive Basil Plant-Based Loaf,7.,1.
2070,07-27-2024,Purple Sweet Potato Loaf,21.,3.
2071,07-27-2024,Whole Milk Loaf,45.5,7.
2072,07-27-2024,Chocolate Pretzel Pastry,42.,12.
2073,07-27-2024,Almond Croissant,101.15,24.
2074,07-27-2024,Caramel Almond Pastry,39.19,11.
2075,07-27-2024,Caramel Apple Pie,59.25,16.
2076,07-27-2024,Chocolate Avalanche,84.53,22.
2077,07-27-2024,Chocolate Croissant,80.75,19.
2078,07-27-2024,Cranberry Cream Cheese Scone,22.5,9.
2079,07-27-2024,Cream Puff Pastry,25.69,7.
2080,07-27-2024,Crispy Almond Pastry,51.19,14.
2081,07-27-2024,Croissant,84.5,26.
2082,07-27-2024,Custard & Almond Pretzel Pastry,3.5,1.
2083,07-27-2024,Elotes Pastry,23.7,6.
2084,07-27-2024,Frank Pastry,47.4,12.
2085,07-27-2024,Garlic & Cheese Croissant,68.,16.
2086,07-27-2024,Greek Yogurt Cherry Danish,47.05,13.
2087,07-27-2024,Guava Danish,77.44,21.
2088,07-27-2024,Jalapeno Cheese Croissant,12.75,3.
2089,07-27-2024,Mini Apple Danish Trio,42.5,10.
2090,07-27-2024,Mixed Berry Danish,25.,6.
2091,07-27-2024,Mont Blanc Pastry,30.,5.
2092,07-27-2024,Pain Au Chocolat,126.75,34.
2093,07-27-2024,Pain Aux Raisin,33.75,9.
2094,07-27-2024,Pineapple Cream Cheese Scone,17.5,7.
2095,07-27-2024,Portuguese Egg Tart,106.6,33.
2096,07-27-2024,Raspberry Pretzel Pastry,14.,4.
2097,07-27-2024,Spinach Feta Danish,163.92,42.
2098,07-27-2024,Strawberry Croissant,71.25,15.
2099,07-27-2024,Sweet Cheese and Blueberry Danish,54.94,15.
2100,07-27-2024,Yuzu Pie,63.75,15.
2101,07-27-2024,Baby Choux,27.,6.
2102,07-27-2024,Banana Soft,34.3,10.
2103,07-27-2024,Belgium Waffle,31.5,9.
2104,07-27-2024,Blueberry Cream Cheese Bread,27.3,8.
2105,07-27-2024,Blueberry Muffin w/ Blueberry filling,19.75,5.
2106,07-27-2024,Butter Cream Bread,6.75,1.
2107,07-27-2024,Chocolate Dipped Waffle,91.2,23.
2108,07-27-2024,Chocolate Muffin w/ Hazelnut filling,43.45,11.
2109,07-27-2024,Croque Monsieur,131.57,29.
2110,07-27-2024,Custard Bun,41.55,14.
2111,07-27-2024,Custard Cream Soboro,42.,12.
2112,07-27-2024,Foliage Sausage Bread,88.36,18.
2113,07-27-2024,Garlic Cream Cheese Bread,55.,10.
2114,07-27-2024,Honey Cheese Pancake,53.46,11.
2115,07-27-2024,Honeydew Melon Soft,34.3,10.
2116,07-27-2024,Milk Cream Bread,58.5,18.
2117,07-27-2024,Milk Soft Bread,35.,10.
2118,07-27-2024,Mini Butter Cream Bread,32.12,13.
2119,07-27-2024,Mocha Cream Bread,24.75,5.
2120,07-27-2024,Morning Bread,17.81,3.
2121,07-27-2024,Nutty Cream Stick Bread,25.5,6.
2122,07-27-2024,Olive Tomato Bread,9.,2.
2123,07-27-2024,Original Coffee Bun,36.94,10.
2124,07-27-2024,Pizza Bread,9.5,2.
2125,07-27-2024,Potato Cheese Bread,59.4,12.
2126,07-27-2024,Premium Red Bean Bread,12.6,4.
2127,07-27-2024,Redbean Bread,48.,16.
2128,07-27-2024,Salt & Butter Roll,35.7,11.
2129,07-27-2024,Soboro,24.,8.
2130,07-27-2024,Strawberry Cream Soboro,21.25,5.
2131,07-27-2024,Strawberry Soft,29.58,9.
2132,07-27-2024,Sweet Frank Roll,122.45,31.
2133,07-27-2024,Taro Buttercream Bread,27.8,4.
2134,07-27-2024,Taro Cream Bun,7.,2.
2135,07-27-2024,The+ Milk Roll,11.5,2.
2136,07-29-2024,Chocolate Cream Doughnut,47.4,12.
2137,07-29-2024,Corn Cheese Donut,13.2,8.
2138,07-29-2024,Croquette,25.69,7.
2139,07-29-2024,Curry Croquette,112.5,31.
2140,07-29-2024,Kimchi Croquette,66.94,18.
2141,07-29-2024,Mango Cream Doughnut,71.1,18.
2142,07-29-2024,Redbean Donut,15.,5.
2143,07-29-2024,Sesame Donut,22.,8.
2144,07-29-2024,Sweet Rice Donut,24.75,9.
2145,07-29-2024,Twist Donut,41.25,15.
2146,07-29-2024,Baguette,14.,4.
2147,07-29-2024,Walnut Cream Baguette,9.9,2.
2148,07-29-2024,Chestnut Pan Bread,6.95,1.
2149,07-29-2024,Mascarpone Whipped Cream Loaf,14.,2.
2150,07-29-2024,Multi-Grain Plant-Based Loaf,7.,1.
2151,07-29-2024,Olive Basil Plant-Based Loaf,7.,1.
2152,07-29-2024,Purple Sweet Potato Loaf,21.,3.
2153,07-29-2024,Whole Milk Loaf,35.,5.
2154,07-29-2024,Chocolate Pretzel Pastry,31.5,9.
2155,07-29-2024,Almond Croissant,42.5,10.
2156,07-29-2024,Caramel Almond Pastry,21.37,6.
2157,07-29-2024,Caramel Apple Pie,60.,16.
2158,07-29-2024,Chocolate Avalanche,39.5,10.
2159,07-29-2024,Chocolate Croissant,38.25,9.
2160,07-29-2024,Cranberry Cream Cheese Scone,12.5,5.
2161,07-29-2024,Cream Puff Pastry,13.88,4.
2162,07-29-2024,Crispy Almond Pastry,26.25,7.
2163,07-29-2024,Croissant,26.,8.
2164,07-29-2024,Custard & Almond Pretzel Pastry,3.5,1.
2165,07-29-2024,Elotes Pastry,19.75,5.
2166,07-29-2024,Frank Pastry,31.6,8.
2167,07-29-2024,Garlic & Cheese Croissant,4.25,1.
2168,07-29-2024,Greek Yogurt Cherry Danish,21.37,6.
2169,07-29-2024,Guava Danish,33.75,9.
2170,07-29-2024,Jalapeno Cheese Croissant,4.25,1.
2171,07-29-2024,Mini Apple Danish Trio,4.25,1.
2172,07-29-2024,Mixed Berry Danish,15.,3.
2173,07-29-2024,Mont Blanc Pastry,12.,2.
2174,07-29-2024,Pain Au Chocolat,90.,24.
2175,07-29-2024,Pain Aux Raisin,7.5,2.
2176,07-29-2024,Pineapple Cream Cheese Scone,5.,2.
2177,07-29-2024,Portuguese Egg Tart,38.51,12.
2178,07-29-2024,Raspberry Pretzel Pastry,7.,2.
2179,07-29-2024,Spinach Feta Danish,58.66,15.
2180,07-29-2024,Strawberry Croissant,19.,4.
2181,07-29-2024,Sweet Cheese and Blueberry Danish,44.44,12.
2182,07-29-2024,Yuzu Pie,42.5,10.
2183,07-29-2024,Banana Soft,14.,4.
2184,07-29-2024,Belgium Waffle,14.,4.
2185,07-29-2024,Blueberry Muffin w/ Blueberry filling,7.9,2.
2186,07-29-2024,Chocolate Dipped Waffle,24.,6.
2187,07-29-2024,Chocolate Muffin w/ Hazelnut filling,11.85,3.
2188,07-29-2024,Croque Monsieur,85.5,18.
2189,07-29-2024,Custard Bun,21.,7.
2190,07-29-2024,Custard Cream Soboro,3.5,1.
2191,07-29-2024,Foliage Sausage Bread,91.57,19.
2192,07-29-2024,Garlic Cream Cheese Bread,44.,8.
2193,07-29-2024,Garlic Stick,9.,3.
2194,07-29-2024,Honey Cheese Pancake,49.5,10.
2195,07-29-2024,Honeydew Melon Soft,14.,4.
2196,07-29-2024,Milk Cream Bread,41.6,13.
2197,07-29-2024,Milk Soft Bread,7.,2.
2198,07-29-2024,Mini Butter Cream Bread,5.,2.
2199,07-29-2024,Mocha Cream Bread,4.95,1.
2200,07-29-2024,Morning Bread,6.25,1.
2201,07-29-2024,Nutty Cream Stick Bread,8.5,2.
2202,07-29-2024,Olive Tomato Bread,9.,2.
2203,07-29-2024,Original Coffee Bun,22.5,6.
2204,07-29-2024,Pizza Bread,14.25,3.
2205,07-29-2024,Potato Cheese Bread,19.8,4.
2206,07-29-2024,Premium Red Bean Bread,17.5,5.
2207,07-29-2024,Redbean Bread,33.,11.
2208,07-29-2024,Salt & Butter Roll,21.,6.
2209,07-29-2024,Soboro,27.,9.
2210,07-29-2024,Strawberry Cream Soboro,29.75,7.
2211,07-29-2024,Strawberry Soft,14.,4.
2212,07-29-2024,Sweet Frank Roll,62.6,17.
2213,07-29-2024,Taro Buttercream Bread,34.75,5.
2214,07-29-2024,The+ Milk Roll,23.,4.
2215,07-30-2024,Chocolate Cream Doughnut,35.55,9.
2216,07-30-2024,Corn Cheese Donut,23.1,14.
2217,07-30-2024,Croquette,69.19,19.
2218,07-30-2024,Curry Croquette,88.31,24.
2219,07-30-2024,Kimchi Croquette,37.5,10.
2220,07-30-2024,Mango Cream Doughnut,59.25,15.
2221,07-30-2024,Redbean Donut,9.,3.
2222,07-30-2024,Sesame Donut,30.25,11.
2223,07-30-2024,Sweet Rice Donut,27.5,10.
2224,07-30-2024,Twist Donut,35.34,13.
2225,07-30-2024,Baguette,10.5,3.
2226,07-30-2024,Walnut Cream Baguette,4.95,1.
2227,07-30-2024,Chestnut Pan Bread,6.95,1.
2228,07-30-2024,Mascarpone Whipped Cream Loaf,7.,1.
2229,07-30-2024,Multi-Grain Plant-Based Loaf,14.,2.
2230,07-30-2024,Purple Sweet Potato Loaf,7.,1.
2231,07-30-2024,Whole Milk Loaf,26.95,4.
2232,07-30-2024,Chocolate Pretzel Pastry,20.47,6.
2233,07-30-2024,Almond Croissant,51.,12.
2234,07-30-2024,Caramel Almond Pastry,6.75,2.
2235,07-30-2024,Caramel Apple Pie,26.25,7.
2236,07-30-2024,Chocolate Avalanche,39.5,10.
2237,07-30-2024,Chocolate Croissant,17.,4.
2238,07-30-2024,Cranberry Cream Cheese Scone,10.,4.
2239,07-30-2024,Cream Puff Pastry,11.25,3.
2240,07-30-2024,Crispy Almond Pastry,33.75,9.
2241,07-30-2024,Croissant,26.,8.
2242,07-30-2024,Custard & Almond Pretzel Pastry,7.,2.
2243,07-30-2024,Elotes Pastry,23.7,6.
2244,07-30-2024,Frank Pastry,33.18,9.
2245,07-30-2024,Garlic & Cheese Croissant,17.,4.
2246,07-30-2024,Greek Yogurt Cherry Danish,25.68,7.
2247,07-30-2024,Guava Danish,26.25,7.
2248,07-30-2024,Jalapeno Cheese Croissant,8.5,2.
2249,07-30-2024,Mini Apple Danish Trio,21.25,5.
2250,07-30-2024,Mixed Berry Danish,15.,3.
2251,07-30-2024,Mont Blanc Pastry,12.,2.
2252,07-30-2024,Pain Au Chocolat,67.5,18.
2253,07-30-2024,Pain Aux Raisin,15.,4.
2254,07-30-2024,Pineapple Cream Cheese Scone,5.,2.
2255,07-30-2024,Portuguese Egg Tart,35.75,11.
2256,07-30-2024,Raspberry Pretzel Pastry,7.,2.
2257,07-30-2024,Spinach Feta Danish,63.2,16.
2258,07-30-2024,Strawberry Croissant,23.04,5.
2259,07-30-2024,Sweet Cheese and Blueberry Danish,48.19,13.
2260,07-30-2024,Yuzu Pie,46.75,11.
2261,07-30-2024,Banana Soft,10.5,3.
2262,07-30-2024,Belgium Waffle,21.,6.
2263,07-30-2024,Blueberry Muffin w/ Blueberry filling,3.95,1.
2264,07-30-2024,Chocolate Dipped Waffle,28.,7.
2265,07-30-2024,Croque Monsieur,70.54,15.
2266,07-30-2024,Custard Bun,24.,8.
2267,07-30-2024,Custard Cream Soboro,17.5,5.
2268,07-30-2024,Foliage Sausage Bread,76.72,16.
2269,07-30-2024,Garlic Cream Cheese Bread,49.5,9.
2270,07-30-2024,Garlic Stick,6.,2.
2271,07-30-2024,Honey Cheese Pancake,53.7,11.
2272,07-30-2024,Honeydew Melon Soft,10.5,3.
2273,07-30-2024,Milk Cream Bread,32.5,10.
2274,07-30-2024,Milk Soft Bread,10.5,3.
2275,07-30-2024,Mini Butter Cream Bread,7.5,3.
2276,07-30-2024,Mocha Cream Bread,4.95,1.
2277,07-30-2024,Morning Bread,12.5,2.
2278,07-30-2024,Nutty Cream Stick Bread,8.5,2.
2279,07-30-2024,Olive Tomato Bread,22.5,5.
2280,07-30-2024,Original Coffee Bun,26.25,7.
2281,07-30-2024,Pizza Bread,14.25,3.
2282,07-30-2024,Potato Cheese Bread,43.81,9.
2283,07-30-2024,Premium Red Bean Bread,14.,4.
2284,07-30-2024,Redbean Bread,27.,9.
2285,07-30-2024,Salt & Butter Roll,38.5,11.
2286,07-30-2024,Soboro,33.,11.
2287,07-30-2024,Strawberry Cream Soboro,17.,4.
2288,07-30-2024,Strawberry Soft,14.,4.
2289,07-30-2024,Sweet Frank Roll,42.07,11.
2290,07-30-2024,Taro Buttercream Bread,34.75,5.
2291,07-30-2024,The+ Milk Roll,5.75,1.
2292,07-31-2024,Chocolate Cream Doughnut,47.4,12.
2293,07-31-2024,Corn Cheese Donut,16.5,8.
2294,07-31-2024,Croquette,63.75,17.
2295,07-31-2024,Curry Croquette,93.75,25.
2296,07-31-2024,Frank Roll,11.85,3.
2297,07-31-2024,Kimchi Croquette,37.5,10.
2298,07-31-2024,Mango Cream Doughnut,59.25,15.
2299,07-31-2024,Redbean Donut,15.,5.
2300,07-31-2024,Sesame Donut,27.5,10.
2301,07-31-2024,Sweet Cream Donut,23.27,7.
2302,07-31-2024,Sweet Rice Donut,19.25,7.
2303,07-31-2024,Twist Donut,21.45,8.
2304,07-31-2024,Baguette,17.5,5.
2305,07-31-2024,Walnut Cream Baguette,14.11,3.
2306,07-31-2024,Chestnut Pan Bread,6.95,1.
2307,07-31-2024,Mascarpone Whipped Cream Loaf,7.,1.
2308,07-31-2024,Whole Milk Loaf,35.,5.
2309,07-31-2024,Chocolate Pretzel Pastry,24.5,7.
2310,07-31-2024,Almond Croissant,75.65,18.
2311,07-31-2024,Caramel Almond Pastry,7.5,2.
2312,07-31-2024,Caramel Apple Pie,54.75,15.
2313,07-31-2024,Chocolate Avalanche,58.46,15.
2314,07-31-2024,Chocolate Croissant,34.,8.
2315,07-31-2024,Cranberry Cream Cheese Scone,2.5,1.
2316,07-31-2024,Cream Puff Pastry,30.,8.
2317,07-31-2024,Crispy Almond Pastry,37.5,10.
2318,07-31-2024,Croissant,65.,20.
2319,07-31-2024,Custard & Almond Pretzel Pastry,7.,2.
2320,07-31-2024,Elotes Pastry,26.86,7.
2321,07-31-2024,Frank Pastry,27.65,7.
2322,07-31-2024,Garlic & Cheese Croissant,17.,4.
2323,07-31-2024,Greek Yogurt Cherry Danish,36.75,10.
2324,07-31-2024,Guava Danish,60.,16.
2325,07-31-2024,Jalapeno Cheese Croissant,21.25,5.
2326,07-31-2024,Mini Apple Danish Trio,25.5,6.
2327,07-31-2024,Mixed Berry Danish,10.,2.
2328,07-31-2024,Mont Blanc Pastry,12.,2.
2329,07-31-2024,Pain Au Chocolat,76.5,21.
2330,07-31-2024,Pain Aux Raisin,25.5,7.
2331,07-31-2024,Pineapple Cream Cheese Scone,12.12,5.
2332,07-31-2024,Portuguese Egg Tart,22.75,7.
2333,07-31-2024,Raspberry Pretzel Pastry,14.,4.
2334,07-31-2024,Spinach Feta Danish,105.86,27.
2335,07-31-2024,Strawberry Croissant,19.,4.
2336,07-31-2024,Sweet Cheese and Blueberry Danish,29.25,8.
2337,07-31-2024,Yuzu Pie,67.15,16.
2338,07-31-2024,Baby Choux,9.,2.
2339,07-31-2024,Banana Soft,17.5,5.
2340,07-31-2024,Belgium Waffle,14.,4.
2341,07-31-2024,Blueberry Muffin w/ Blueberry filling,15.8,4.
2342,07-31-2024,Chocolate Dipped Waffle,24.,6.
2343,07-31-2024,Chocolate Muffin w/ Hazelnut filling,11.85,3.
2344,07-31-2024,Croque Monsieur,52.25,11.
2345,07-31-2024,Custard Bun,18.,6.
2346,07-31-2024,Custard Cream Soboro,21.,6.
2347,07-31-2024,Foliage Sausage Bread,85.63,18.
2348,07-31-2024,Garlic Cream Cheese Bread,44.,8.
2349,07-31-2024,Honey Cheese Pancake,38.61,8.
2350,07-31-2024,Honeydew Melon Soft,17.5,5.
2351,07-31-2024,Milk Cream Bread,42.25,13.
2352,07-31-2024,Milk Soft Bread,20.3,6.
2353,07-31-2024,Mini Butter Cream Bread,17.5,7.
2354,07-31-2024,Mocha Cream Bread,19.8,4.
2355,07-31-2024,Morning Bread,23.75,4.
2356,07-31-2024,Nutty Cream Stick Bread,11.9,3.
2357,07-31-2024,Olive Tomato Bread,9.,2.
2358,07-31-2024,Original Coffee Bun,26.25,7.
2359,07-31-2024,Pizza Bread,14.25,3.
2360,07-31-2024,Potato Cheese Bread,29.7,6.
2361,07-31-2024,Premium Red Bean Bread,21.,6.
2362,07-31-2024,Redbean Bread,18.,6.
2363,07-31-2024,Salt & Butter Roll,40.25,12.
2364,07-31-2024,Soboro,30.,10.
2365,07-31-2024,Strawberry Cream Soboro,6.37,2.
2366,07-31-2024,Strawberry Soft,17.5,5.
2367,07-31-2024,Sweet Frank Roll,60.43,16.
2368,07-31-2024,Taro Buttercream Bread,25.02,4.
2369,07-31-2024,The+ Milk Roll,11.5,2.
2370,08-01-2024,Chocolate Cream Doughnut,26.86,7.
2371,08-01-2024,Corn Cheese Donut,16.5,10.
2372,08-01-2024,Croquette,39.37,11.
2373,08-01-2024,Curry Croquette,88.5,24.
2374,08-01-2024,Kimchi Croquette,60.,16.
2375,08-01-2024,Mango Cream Doughnut,59.25,15.
2376,08-01-2024,Redbean Donut,3.,1.
2377,08-01-2024,Sesame Donut,14.85,6.
2378,08-01-2024,Sweet Cream Donut,5.25,2.
2379,08-01-2024,Sweet Rice Donut,13.75,5.
2380,08-01-2024,Twist Donut,35.2,13.
2381,08-01-2024,Baguette,10.5,3.
2382,08-01-2024,Walnut Cream Baguette,14.85,3.
2383,08-01-2024,Chestnut Pan Bread,13.9,2.
2384,08-01-2024,Mascarpone Whipped Cream Loaf,7.,1.
2385,08-01-2024,Multi-Grain Plant-Based Loaf,7.,1.
2386,08-01-2024,Olive Basil Plant-Based Loaf,14.,2.
2387,08-01-2024,Purple Sweet Potato Loaf,7.,1.
2388,08-01-2024,Whole Milk Loaf,21.,3.
2389,08-01-2024,Chocolate Pretzel Pastry,14.,4.
2390,08-01-2024,Almond Croissant,21.25,5.
2391,08-01-2024,Blueberry Jam Mont Blanc Pastry,27.25,4.
2392,08-01-2024,Caramel Almond Pastry,15.,4.
2393,08-01-2024,Caramel Apple Pie,56.25,15.
2394,08-01-2024,Chocolate Avalanche,35.55,9.
2395,08-01-2024,Chocolate Croissant,34.,8.
2396,08-01-2024,Cocoa Hazelnut Croissant,17.,4.
2397,08-01-2024,Cream Puff Pastry,7.5,2.
2398,08-01-2024,Crispy Almond Pastry,48.,13.
2399,08-01-2024,Croissant,35.75,11.
2400,08-01-2024,Custard & Almond Pretzel Pastry,3.5,1.
2401,08-01-2024,Elotes Pastry,26.86,7.
2402,08-01-2024,Frank Pastry,31.6,8.
2403,08-01-2024,Fruit Pastry,2.95,1.
2404,08-01-2024,Garlic & Cheese Croissant,17.,4.
2405,08-01-2024,Greek Yogurt Cherry Danish,30.,8.
2406,08-01-2024,Guava Danish,41.25,11.
2407,08-01-2024,Mini Apple Danish Trio,17.,4.
2408,08-01-2024,Mixed Berry Danish,10.,2.
2409,08-01-2024,Mont Blanc Pastry,18.,3.
2410,08-01-2024,Pain Au Chocolat,58.12,16.
2411,08-01-2024,Pain Aux Raisin,26.25,7.
2412,08-01-2024,Pineapple Cream Cheese Scone,9.5,4.
2413,08-01-2024,Portuguese Egg Tart,22.75,7.
2414,08-01-2024,Spinach Feta Danish,77.02,20.
2415,08-01-2024,Strawberry Croissant,14.25,3.
2416,08-01-2024,Sweet Cheese and Blueberry Danish,15.,4.
2417,08-01-2024,Yuzu Pie,29.75,7.
2418,08-01-2024,Baby Choux,18.,4.
2419,08-01-2024,Banana Soft,14.,4.
2420,08-01-2024,Blueberry Cream Cheese Bread,26.25,8.
2421,08-01-2024,Chocolate Muffin w/ Hazelnut filling,7.9,2.
2422,08-01-2024,Cranberry Cream Cheese Bread,19.5,6.
2423,08-01-2024,Croque Monsieur,33.25,7.
2424,08-01-2024,Custard Bun,18.,6.
2425,08-01-2024,Custard Cream Soboro,14.,4.
2426,08-01-2024,Foliage Sausage Bread,22.28,5.
2427,08-01-2024,Garlic Cream Cheese Bread,44.,8.
2428,08-01-2024,Honey Cheese Pancake,42.07,9.
2429,08-01-2024,Honeydew Melon Soft,16.8,5.
2430,08-01-2024,Milk Cream Bread,31.85,10.
2431,08-01-2024,Milk Soft Bread,10.5,3.
2432,08-01-2024,Mini Butter Cream Bread,5.,2.
2433,08-01-2024,Mocha Cream Bread,34.65,7.
2434,08-01-2024,Morning Bread,17.5,3.
2435,08-01-2024,Nutty Cream Stick Bread,8.5,2.
2436,08-01-2024,Olive Tomato Bread,13.5,3.
2437,08-01-2024,Original Coffee Bun,18.75,5.
2438,08-01-2024,Pizza Bread,14.25,3.
2439,08-01-2024,Potato Cheese Bread,24.75,5.
2440,08-01-2024,Premium Red Bean Bread,7.,2.
2441,08-01-2024,Redbean Bread,38.4,13.
2442,08-01-2024,Salt & Butter Roll,12.6,4.
2443,08-01-2024,Soboro,26.4,9.
2444,08-01-2024,Strawberry Cream Soboro,12.75,3.
2445,08-01-2024,Strawberry Soft,10.5,3.
2446,08-01-2024,Sweet Frank Roll,58.46,15.
2447,08-01-2024,Taro Buttercream Bread,20.85,3.
2448,08-01-2024,Taro Cream Bun,3.5,1.
2449,08-01-2024,The+ Milk Roll,11.5,2.
2450,08-02-2024,Chocolate Cream Doughnut,71.1,18.
2451,08-02-2024,Corn Cheese Donut,25.08,16.
2452,08-02-2024,Croquette,45.,12.
2453,08-02-2024,Curry Croquette,105.,28.
2454,08-02-2024,Kimchi Croquette,52.5,14.
2455,08-02-2024,Mango Cream Doughnut,63.2,16.
2456,08-02-2024,Redbean Donut,20.4,7.
2457,08-02-2024,Sesame Donut,24.75,9.
2458,08-02-2024,Sweet Cream Donut,23.8,7.
2459,08-02-2024,Sweet Rice Donut,26.95,10.
2460,08-02-2024,Twist Donut,5.5,2.
2461,08-02-2024,Baguette,17.5,5.
2462,08-02-2024,Walnut Cream Baguette,19.8,4.
2463,08-02-2024,Mascarpone Whipped Cream Loaf,14.,2.
2464,08-02-2024,Multi-Grain Plant-Based Loaf,7.,1.
2465,08-02-2024,Purple Sweet Potato Loaf,19.6,3.
2466,08-02-2024,Whole Milk Loaf,28.,4.
2467,08-02-2024,Chocolate Pretzel Pastry,17.5,5.
2468,08-02-2024,Almond Croissant,85.,20.
2469,08-02-2024,Blueberry Jam Mont Blanc Pastry,29.,4.
2470,08-02-2024,Caramel Almond Pastry,15.,4.
2471,08-02-2024,Caramel Apple Pie,63.75,17.
2472,08-02-2024,Chocolate Avalanche,71.1,18.
2473,08-02-2024,Chocolate Croissant,34.,8.
2474,08-02-2024,Cocoa Hazelnut Croissant,21.25,5.
2475,08-02-2024,Cranberry Cream Cheese Scone,12.5,5.
2476,08-02-2024,Cream Puff Pastry,26.25,7.
2477,08-02-2024,Crispy Almond Pastry,52.5,14.
2478,08-02-2024,Croissant,71.5,22.
2479,08-02-2024,Custard & Almond Pretzel Pastry,14.,4.
2480,08-02-2024,Elotes Pastry,23.7,6.
2481,08-02-2024,Frank Pastry,22.91,6.
2482,08-02-2024,Garlic & Cheese Croissant,12.75,3.
2483,08-02-2024,Greek Yogurt Cherry Danish,41.25,11.
2484,08-02-2024,Guava Danish,63.75,17.
2485,08-02-2024,Mini Apple Danish Trio,24.65,6.
2486,08-02-2024,Mixed Berry Danish,30.,6.
2487,08-02-2024,Mont Blanc Pastry,12.,2.
2488,08-02-2024,Pain Au Chocolat,63.75,17.
2489,08-02-2024,Pain Aux Raisin,22.5,6.
2490,08-02-2024,Pineapple Cream Cheese Scone,9.62,4.
2491,08-02-2024,Portuguese Egg Tart,38.35,12.
2492,08-02-2024,Spinach Feta Danish,86.9,22.
2493,08-02-2024,Strawberry Croissant,23.75,5.
2494,08-02-2024,Sweet Cheese and Blueberry Danish,45.,12.
2495,08-02-2024,Yuzu Pie,68.,16.
2496,08-02-2024,Baby Choux,4.5,1.
2497,08-02-2024,Banana Soft,7.,2.
2498,08-02-2024,Belgium Waffle,17.5,5.
2499,08-02-2024,Blueberry Cream Cheese Bread,45.5,13.
2500,08-02-2024,Blueberry Muffin w/ Blueberry filling,7.9,2.
2501,08-02-2024,Chocolate Dipped Waffle,24.,6.
2502,08-02-2024,Chocolate Muffin w/ Hazelnut filling,19.75,5.
2503,08-02-2024,Cranberry Cream Cheese Bread,39.,12.
2504,08-02-2024,Croque Monsieur,37.05,8.
2505,08-02-2024,Custard Bun,27.,9.
2506,08-02-2024,Custard Cream Soboro,38.5,11.
2507,08-02-2024,Foliage Sausage Bread,96.52,20.
2508,08-02-2024,Garlic Cream Cheese Bread,71.5,13.
2509,08-02-2024,Honey Cheese Pancake,64.35,13.
2510,08-02-2024,Honeydew Melon Soft,17.5,5.
2511,08-02-2024,Milk Cream Bread,26.,8.
2512,08-02-2024,Milk Soft Bread,17.5,5.
2513,08-02-2024,Mini Butter Cream Bread,2.5,1.
2514,08-02-2024,Mocha Cream Bread,19.8,4.
